mid_date,start_date,end_date,volume,elevation,alongshore_centroid_m,alongshore_start_m,alongshore_end_m,mop_centroid,mop_start,mop_end,width,height,vol_unc,month
2018-12-22,2018-12-18,2018-12-26,0.27976752038236274,2.844970960414266,1085.2996288139166,1084.9027438471094,1085.9005336738192,577.0986477867556,577.09825,577.099,0.9977898267097771,1.0,0.03530599556213999,12
2018-12-22,2018-12-18,2018-12-26,0.2073465976080813,3.2323693584804856,151.2917303811272,151.01028702175245,151.75875778775662,568.0515320182948,568.05125,568.05175,0.748470766004175,0.75,0.03549466843297535,12
2018-12-22,2018-12-18,2018-12-26,1.2570116549346135,3.8212531977405977,229.65194428461157,228.1027704034932,231.59563398128375,569.0300523390794,569.0285,569.03175,3.4928635777905583,1.5,0.07975042017684035,12
2018-12-22,2018-12-18,2018-12-26,1.0294408293393185,3.635772518850217,277.6008641518902,276.25439296709374,278.9987858943641,569.0780992218769,569.07675,569.07925,2.7443929272703826,1.0,0.0686731701151156,12
2018-12-22,2018-12-18,2018-12-26,0.4623906481062384,3.691639842387492,394.6363620821823,394.2633154238574,395.2612767969258,570.0953738085886,570.095,570.09575,0.9979613730683923,1.25,0.04894496221599648,12
2018-12-22,2018-12-18,2018-12-26,0.24236826990621235,3.2351477861289437,404.24285048914766,403.993439974729,404.7419107602909,571.0049999199653,571.00475,571.00525,0.748470785561949,0.75,0.03659895308693756,12
2018-12-22,2018-12-18,2018-12-26,3.0078939313391415,3.8171585757445623,408.2495733522903,406.7378341774456,409.9812089414336,571.0090148272834,571.0075,571.0105,3.2433747639879584,2.25,0.09737483820038233,12
2018-12-22,2018-12-18,2018-12-26,0.991493449137088,3.9181389835054885,472.17924729391257,471.1063551953994,473.35176906501874,571.0730750832364,571.072,571.074,2.2454138696193695,1.25,0.07004665656710854,12
2018-12-22,2018-12-18,2018-12-26,0.2634342150820296,13.885612724520204,1163.736485237646,1163.4919159957208,1164.2403874769807,578.0772450684991,578.077,578.0775,0.7484714812599123,1.0,0.03752198538336859,12
2018-12-22,2018-12-18,2018-12-26,0.20790888589672593,1.992581167063316,557.9265745356071,557.679535781499,558.4280069041997,572.0589975432307,572.05875,572.05925,0.748471122700721,0.75,0.03224548738259212,12
2018-12-22,2018-12-18,2018-12-26,0.24689252318465127,3.4909420051870046,1222.4893350751713,1222.1140191257,1223.1118089514785,579.0361261687307,579.03575,579.0365,0.9977898257784545,0.75,0.03737980968682954,12
2018-12-29,2018-12-26,2019-01-02,0.268695524456632,1.7116453086934165,503.5245244378324,503.29061696119606,504.0390880848281,572.0044843851375,572.00425,572.00475,0.7484711236320436,0.75,0.03721838749861926,12
2019-01-04,2019-01-02,2019-01-07,5.552622734962496,11.624837318309291,115.58842739483066,115.08369618328288,116.33114737831056,568.0157557623241,568.01525,568.01625,1.2474511950276792,1.0,0.04309011030053793,1
2019-01-04,2019-01-02,2019-01-07,0.8234513954442286,26.124829914067025,629.396604905247,628.7478059302084,630.243226969149,573.0306509179754,573.03,573.03125,1.495421038940549,2.0,0.06476186811309143,1
2019-01-04,2019-01-02,2019-01-07,3.9556241991760417,5.647940986929224,1069.4628252760197,1067.1929863807745,1071.9322738982737,577.0827749964205,577.0805,577.085,4.739287517499179,2.25,0.11793124378978195,1
2019-01-04,2019-01-02,2019-01-07,0.18718536586840276,4.745298286920705,1087.8940943506445,1087.646738355048,1088.3952098367736,578.0012478609418,578.001,578.0015,0.7484714817255735,0.75,0.03189369705597799,1
2019-01-13,2019-01-07,2019-01-19,1.4511089566080888,4.987780287774065,1046.099927973716,1044.4945659963414,1047.7372542871162,577.0593590097308,577.05775,577.06075,3.2426882907748222,1.25,0.081865980265404,1
2019-01-13,2019-01-07,2019-01-19,0.09561264825554366,3.0,1013.2005782634443,1012.816550754942,1013.8143405821174,577.0263849000835,577.026,577.02675,0.9977898271754384,0.25,0.02287665622493645,1
2019-01-13,2019-01-07,2019-01-19,0.17160489691237804,3.1398546681738377,976.344980452016,975.9004393462092,977.1476624193601,576.0894455511777,576.089,576.09,1.2472230731509626,0.5,0.03054199627931698,1
2019-01-13,2019-01-07,2019-01-19,0.27182369356815655,3.1437429957494936,971.6490958452497,970.6623431788757,974.154464466963,576.0847389952382,576.08375,576.087,3.492121288087219,0.5,0.03804241022074315,1
2019-01-13,2019-01-07,2019-01-19,0.1822438404156951,5.247391046322874,944.7203108126472,944.4718613470905,945.2202179278247,576.0577490139846,576.0575,576.058,0.7483565807342529,0.75,0.031178597133975677,1
2019-01-13,2019-01-07,2019-01-19,0.9247582183792215,3.752854710511782,933.4177610908694,931.7507700482383,934.99345809035,576.0464207790855,576.04475,576.04775,3.242688042111695,1.25,0.07104408359887526,1
2019-01-13,2019-01-07,2019-01-19,1.0403457292777747,3.775159263869917,907.2828250467098,906.0591554576531,908.8029770078138,576.0202264507612,576.019,576.0215,2.7438215501606464,1.25,0.07371403335925587,1
2019-01-13,2019-01-07,2019-01-19,0.7000897109921581,3.9830865613436677,869.1872946126584,867.6707404931076,871.4079350405373,575.0710219005744,575.0695,575.073,3.737194547429681,0.75,0.06006360134315985,1
2019-01-13,2019-01-07,2019-01-19,1.0102832962286878,3.6068007732024,858.468918375378,856.9585063722916,859.9483356783167,575.0602657368049,575.05875,575.0615,2.989829306025058,1.0,0.07220953543990849,1
2019-01-13,2019-01-07,2019-01-19,49.82102302519268,4.695516379702723,1061.2609138101245,1048.4854969312437,1076.1726388302632,577.0745544471469,577.06175,577.08925,27.68714189901948,4.75,0.3737878509090437,1
2019-01-13,2019-01-07,2019-01-19,0.20165622765249316,3.7255054291647567,851.4845727516787,851.2287071910687,851.9764407738112,575.0532567675887,575.053,575.0535,0.7477335827425122,0.75,0.0326066685992896,1
2019-01-13,2019-01-07,2019-01-19,0.6528406541649849,3.3356863210996988,832.9564523211461,832.0463346713223,834.0396769898944,575.0346633261754,575.03375,575.0355,1.993342318572104,1.0,0.06381246622704788,1
2019-01-13,2019-01-07,2019-01-19,1.3491736681382784,3.836397048795662,810.8230496056295,808.8780141999014,812.3660870003514,575.0124518924271,575.0105,575.01375,3.488072800450027,1.75,0.0849673235742771,1
2019-01-13,2019-01-07,2019-01-19,0.3577500138536576,4.003883354060247,805.9009980758767,805.6394314891659,806.3871650719084,575.0075124887132,575.00725,575.00775,0.7477335827425122,0.75,0.03691293820323593,1
2019-01-13,2019-01-07,2019-01-19,1.5864294495081253,4.0122405670289885,801.9666133684683,800.6569975488819,803.6468268553726,575.0035642327352,575.00225,575.005,2.9898293064907193,1.5,0.08485479647172646,1
2019-01-13,2019-01-07,2019-01-19,0.17970415605218626,3.992643718135476,798.4127353126665,798.1652190792374,798.9135136618279,574.9255218867131,574.7775,575.00025,0.7482945825904608,0.75,0.031279712780821305,1
2019-01-13,2019-01-07,2019-01-19,1.632083890429865,3.754087999130803,862.9015002401378,860.9444543244317,865.4290131120943,575.0647139453949,575.06275,575.067,4.484558787662536,1.25,0.09157297826720727,1
2019-01-13,2019-01-07,2019-01-19,0.9137636267536801,7.0704157869513375,1072.6162026274003,1071.6827838090248,1073.9277398665436,577.0859355397017,577.085,577.087,2.2449560575187206,1.25,0.06518932834340965,1
2019-01-13,2019-01-07,2019-01-19,0.33453620849949695,4.393820596142198,1080.057505325793,1079.6646466804668,1080.6624365076423,577.0933937512854,577.093,577.09375,0.9977898271754384,1.0,0.04130180005345769,1
2019-01-13,2019-01-07,2019-01-19,1.0419185148003995,4.12908561495736,790.6737350619521,789.6760047371499,791.9229570403695,574.1032489980555,574.10225,574.10425,2.2469523032195866,1.5,0.07021642869163204,1
